id,tested_positive
0,2
1,1
2,1
3,1
4,2
5,1
6,0
7,2
8,1
9,1
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,2
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,2
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,0
37,2
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,0
49,2
50,0
51,0
52,2
53,1
54,1
55,2
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,2
65,0
66,1
67,0
68,1
69,1
70,1
71,2
72,0
73,1
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,2
88,2
89,1
90,1
91,0
92,0
93,0
94,1
95,0
96,2
97,1
98,1
99,0
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,0
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,2
122,0
123,1
124,1
125,2
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,1
134,0
135,0
136,2
137,0
138,1
139,1
140,2
141,1
142,2
143,1
144,1
145,1
146,1
147,2
148,1
149,0
150,1
151,1
152,2
153,1
154,2
155,0
156,2
157,0
158,1
159,1
160,2
161,1
162,1
163,1
164,0
165,0
166,2
167,0
168,1
169,1
170,2
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,2
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,2
195,1
196,1
197,1
198,1
199,1
200,2
201,0
202,2
203,2
204,0
205,0
206,2
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,0
217,1
218,2
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,0
227,1
228,1
229,0
230,1
231,0
232,2
233,1
234,1
235,1
236,0
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,1
251,2
252,0
253,1
254,1
255,1
256,2
257,1
258,1
259,0
260,0
261,0
262,1
263,1
264,0
265,0
266,2
267,0
268,1
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,2
304,0
305,1
306,1
307,1
308,1
309,0
310,1
311,1
312,0
313,1
314,1
315,1
316,0
317,0
318,1
319,1
320,0
321,2
322,1
323,2
324,1
325,0
326,2
327,1
328,1
329,2
330,1
331,1
332,0
333,1
334,1
335,2
336,0
337,0
338,1
339,0
340,1
341,1
342,2
343,1
344,1
345,2
346,1
347,1
348,0
349,0
350,0
351,1
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,2
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,2
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,0
383,0
384,0
385,1
386,0
387,1
388,1
389,0
390,2
391,0
392,1
393,0
394,1
395,1
396,2
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,1
412,0
413,0
414,0
415,2
416,1
417,1
418,2
419,0
420,1
421,0
422,1
423,2
424,2
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,0
433,0
434,2
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,0
443,1
444,2
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,1
453,0
454,1
455,0
456,1
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,0
466,1
467,1
468,2
469,1
470,0
471,1
472,1
473,2
474,1
475,1
476,0
477,0
478,1
479,1
480,2
481,0
482,1
483,2
484,0
485,0
486,1
487,0
488,0
489,1
490,2
491,2
492,2
493,2
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,2
505,1
506,1
507,2
508,1
509,0
510,1
511,1
512,1
513,2
514,1
515,0
516,2
517,1
518,1
519,0
520,2
521,2
522,1
523,0
524,1
525,1
526,1
527,0
528,2
529,1
530,2
531,1
532,0
533,1
534,1
535,1
536,0
537,1
538,1
539,1
540,0
541,0
542,2
543,0
544,0
545,1
546,1
547,0
548,1
549,1
550,1
551,0
552,1
553,2
554,1
555,0
556,0
557,0
558,1
559,2
560,1
561,1
562,2
563,0
564,0
565,0
566,2
567,0
568,1
569,2
570,0
571,1
572,1
573,0
574,2
575,0
576,1
577,1
578,1
579,0
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,0
592,0
593,2
594,1
595,2
596,1
597,1
598,2
599,1
600,2
601,0
602,2
603,1
604,1
605,1
606,1
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,1
616,0
617,1
618,1
619,0
620,0
621,0
622,1
623,1
624,0
625,0
626,1
627,1
628,1
629,0
630,1
631,2
632,1
633,2
634,0
635,0
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,0
645,1
646,0
647,1
648,1
649,1
650,2
651,1
652,1
653,2
654,0
655,1
656,0
657,1
658,2
659,1
660,1
661,2
662,1
663,1
664,1
665,1
666,1
667,1
668,2
669,1
670,0
671,1
672,1
673,2
674,0
675,1
676,1
677,0
678,1
679,0
680,0
681,0
682,1
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,2
691,2
692,1
693,1
694,0
695,1
696,2
697,1
698,1
699,0
700,1
701,0
702,0
703,1
704,2
705,1
706,1
707,0
708,1
709,1
710,2
711,1
712,0
713,0
714,1
715,1
716,2
717,1
718,0
719,1
720,0
721,0
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
